#: table_doi: 10.17182/hepdata.59732.v1/t51,,,,,,,,,,,
#: name: Table 51 & 52,,,,,,,,,,,
#: description: The Collins asymmetry, from the combined 2007 and 2010 data sets,  for positive and negative hadrons as a function of PT for 2007+2010 full range. ,,,,,,,,,
Also shown are the mean values of other variables.,,,,,,,,,,,
,,,,,,,,,,,
#: data_file: Table51.yaml,,,,,,,,,,,
#: keyword reactions: MU+ P --> HADRON X,,,,,,,,,,,
#: keyword observables: ASYM,,,,,,,,,,,
#: keyword phrases: Inclusive | Asymmetry Measurement,,,,,,,,,,,
#: keyword cmenergies: 160.0,,,,,,,,,,,
#: RE,,,MU+ P --> HADRON X,,,,,,,,
#: SQRT(S) [GeV],,,160,,,,,,,,
hadron,proj,pT,pT lower,pT upper,Q^2,y,x,z,W,Collins_ASYM,error
h+,pT,0.15,0.1,0.2,3.54,0.3,0.051,0.36,8.94,-0.0103,0.0054
h+,pT,0.25,0.2,0.3,3.53,0.3,0.051,0.36,8.89,-0.0067,0.0045
h+,pT,0.35,0.3,0.4,3.53,0.3,0.05,0.36,8.92,-0.0143,0.0043
h+,pT,0.45,0.4,0.5,3.62,0.31,0.051,0.36,8.99,-0.0129,0.0044
h+,pT,0.55,0.5,0.6,3.7,0.31,0.051,0.37,9.04,-0.0117,0.0049
h+,pT,0.67,0.6,0.75,3.78,0.32,0.05,0.38,9.17,-0.0166,0.0048
h+,pT,0.82,0.75,0.9,3.9,0.33,0.049,0.4,9.36,-0.0106,0.0064
h+,pT,1.05,0.9,1.3,4.13,0.35,0.048,0.42,9.73,-0.0045,0.0065
h+,pT,1.58,1.58,10,4.9,0.41,0.047,0.44,10.67,-0.0192,0.0136
h-,pT,0.15,0.1,0.2,3.26,0.32,0.045,0.36,9.18,0.0066,0.0061
h-,pT,0.25,0.2,0.3,3.26,0.31,0.046,0.35,9.1,0.0059,0.005
h-,pT,0.35,0.3,0.4,3.27,0.32,0.045,0.35,9.14,0.0047,0.0048
h-,pT,0.45,0.4,0.5,3.36,0.32,0.046,0.35,9.21,0.0129,0.0051
h-,pT,0.55,0.5,0.6,3.46,0.32,0.046,0.35,9.29,0.0074,0.0057
h-,pT,0.67,0.6,0.75,3.54,0.33,0.046,0.36,9.42,0.0178,0.0056
h-,pT,0.82,0.75,0.9,3.65,0.34,0.045,0.38,9.62,0.0252,0.0075
h-,pT,1.05,0.9,1.3,3.82,0.37,0.043,0.4,9.96,0.0305,0.0077
h-,pT,1.58,1.58,10,4.31,0.43,0.04,0.42,10.86,0.0272,0.0161