#: table_doi: 10.17182/hepdata.59732.v1/t54,,,,,,,,,,,,
#: name: Table 53 & 54,,,,,,,,,,,,
#: description: The Collins asymmetry, from the combined 2007 and 2010 data sets,  for positive and negative hadrons as a function of Z for 2007+2010 full range. ,,,,,,,,,,
Also shown are the mean values of other variables.,,,,,,,,,,,,
,,,,,,,,,,,,
#: data_file: Table54.yaml,,,,,,,,,,,,
#: keyword reactions: MU+ P --> HADRON X,,,,,,,,,,,,
#: keyword observables: ASYM,,,,,,,,,,,,
#: keyword phrases: Inclusive | Asymmetry Measurement,,,,,,,,,,,,
#: keyword cmenergies: 160.0,,,,,,,,,,,,
#: RE,,,MU+ P --> HADRON- X,,,,,,,,,
#: SQRT(S) [GeV],,,160,,,,,,,,,
hadron,proj,z,z LOW,z HIGH,Q^2,y,x,pT,W,SQRT(S) [GeV],Collins_ASYM,error
h+,z,0.223,0.2,0.25,3.71,0.32,0.048,0.46,9.3,160,-0.0069,0.0035
h+,z,0.273,0.25,0.3,3.73,0.32,0.05,0.48,9.2,160,-0.0108,0.0041
h+,z,0.323,0.3,0.35,3.75,0.31,0.051,0.5,9.12,160,-0.0146,0.0048
h+,z,0.373,0.35,0.4,3.75,0.31,0.051,0.52,9.04,160,-0.0179,0.0055
h+,z,0.446,0.4,0.5,3.74,0.31,0.052,0.55,8.99,160,-0.0096,0.0048
h+,z,0.567,0.5,0.65,3.69,0.3,0.052,0.59,8.92,160,-0.0021,0.0053
h+,z,0.718,0.65,0.8,3.51,0.3,0.05,0.6,8.84,160,-0.0238,0.0076
h+,z,0.878,0.8,1,3.1,0.29,0.046,0.52,8.77,160,-0.0424,0.0102
h-,z,0.222,0.2,0.25,3.57,0.33,0.046,0.46,9.43,160,0.0064,0.0038
h-,z,0.273,0.25,0.3,3.54,0.33,0.046,0.48,9.35,160,0.0225,0.0046
h-,z,0.323,0.3,0.35,3.5,0.33,0.046,0.51,9.32,160,0.0038,0.0054
h-,z,0.373,0.35,0.4,3.44,0.32,0.046,0.52,9.3,160,0.0139,0.0064
h-,z,0.446,0.4,0.5,3.36,0.32,0.045,0.55,9.25,160,0.0191,0.0056
h-,z,0.566,0.5,0.65,3.19,0.32,0.044,0.57,9.24,160,0.0162,0.0065
h-,z,0.718,0.65,0.8,2.92,0.32,0.041,0.56,9.22,160,0.0024,0.0094