#: table_doi: 10.17182/hepdata.59732.v1/t49,,,,,,,,,,,,,
#: name: Table 49 & 50,,,,,,,,,,,,,
#: description: The Collins asymmetry, from the combined 2007 and 2010 data sets,  for positive and negative hadrons as a function of X for 2007+2010 full range. ,,,,,,,,,,,
# Also shown are the mean values of other variables.,,,,,,,,,,,,,
,,,,,,,,,,,,,
#: data_file: Table49.yaml,,,,,,,,,,,,,
#: keyword reactions: MU+ P --> HADRON X,,,,,,,,,,,,,
#: keyword observables: ASYM,,,,,,,,,,,,,
#: keyword phrases: Inclusive | Asymmetry Measurement,,,,,,,,,,,,,
#: keyword cmenergies: 160.0,,,,,,,,,,,,,
#: RE,,,MU+ P --> HADRON+ X,,,,,,,,,,
#: SQRT(S) [GeV],,,160,,,,,,,,,,
hadron,proj,x,x lower,x upper,Q^2,Q,y,z,pT,W,SQRT(S) [GeV],Collins_asym,error
h+,x,0.0063,0.003,0.008,1.28,1.1314,0.67,0.36,0.54,14.11,160,-0.0087,0.0118
h+,x,0.0109,0.008,0.013,1.54,1.241,0.49,0.37,0.53,11.97,160,-0.0116,0.0061
h+,x,0.016,0.013,0.02,1.81,1.3454,0.37,0.37,0.52,10.29,160,0.0004,0.0048
h+,x,0.026,0.02,0.032,2.14,1.4629,0.28,0.37,0.51,8.8,160,-0.0006,0.0039
h+,x,0.0399,0.032,0.05,2.77,1.6643,0.23,0.38,0.5,7.94,160,-0.0048,0.0039
h+,x,0.0629,0.05,0.08,4.27,2.0664,0.23,0.37,0.5,7.75,160,-0.0164,0.0045
h+,x,0.101,0.08,0.13,6.68,2.5846,0.22,0.37,0.5,7.5,160,-0.0293,0.0054
h+,x,0.1628,0.13,0.21,10.39,3.2234,0.22,0.37,0.5,7.14,160,-0.0315,0.0066
h+,x,0.2865,0.21,0.7,20.49,4.5266,0.23,0.38,0.53,6.86,160,-0.0531,0.0087
h-,x,0.0063,0.003,0.008,1.28,1.1314,0.67,0.37,0.52,14.15,160,-0.0261,0.0122
h-,x,0.0109,0.008,0.013,1.55,1.245,0.49,0.37,0.52,12,160,0.0078,0.0065
h-,x,0.016,0.013,0.02,1.83,1.3528,0.37,0.36,0.51,10.35,160,0.0025,0.0052
h-,x,0.026,0.02,0.032,2.16,1.4697,0.28,0.36,0.5,8.86,160,0.0064,0.0043
h-,x,0.0399,0.032,0.05,2.8,1.6733,0.24,0.36,0.49,7.96,160,0.0102,0.0045
h-,x,0.0629,0.05,0.08,4.29,2.0712,0.23,0.36,0.49,7.78,160,0.0154,0.0053
h-,x,0.1009,0.08,0.13,6.68,2.5846,0.22,0.35,0.49,7.52,160,0.033,0.0064
h-,x,0.162,0.13,0.21,10.39,3.2234,0.22,0.35,0.49,7.14,160,0.0409,0.0083
h-,x,0.2864,0.21,0.7,20.4,4.5166,0.23,0.35,0.52,6.86,160,0.0636,0.0112