#: table_doi: 10.17182/hepdata.59732.v1/t53,,,,,,,,,,,,,
#: name: Table 53,,,,,,,,,,,,,
#: description: The Collins asymmetry, from the combined 2007 and 2010 data sets,  for positive hadrons as a function of Z for 2007+2010 full range. ,,,,,,,,,,,
Also shown are the mean values of other variables.,,,,,,,,,,,,,
,,,,,,,,,,,,,
#: data_file: Table53.yaml,,,,,,,,,,,,,
#: keyword reactions: MU+ P --> HADRON+ X,,,,,,,,,,,,,
#: keyword observables: ASYM,,,,,,,,,,,,,
#: keyword phrases: Inclusive | Asymmetry Measurement,,,,,,,,,,,,,
#: keyword cmenergies: 160.0,,,,,,,,,,,,,
#: RE,,,MU+ P --> HADRON+ X,,,,,,,,,,
#: SQRT(S) [GeV],,,160,,,,,,,,,,
hadron,proj,z,z LOW,z HIGH,Q^2,Q,y,x,pT,W,SQRT(S) [GeV],Collins_asym,error
h+,z,0.223,0.2,0.25,3.71,1.9261,0.32,0.048,0.46,9.3,160,-0.0069,0.0035
h+,z,0.273,0.25,0.3,3.73,1.9313,0.32,0.05,0.48,9.2,160,-0.0108,0.0041
h+,z,0.323,0.3,0.35,3.75,1.9365,0.31,0.051,0.5,9.12,160,-0.0146,0.0048
h+,z,0.373,0.35,0.4,3.75,1.9365,0.31,0.051,0.52,9.04,160,-0.0179,0.0055
h+,z,0.446,0.4,0.5,3.74,1.9339,0.31,0.052,0.55,8.99,160,-0.0096,0.0048
h+,z,0.567,0.5,0.65,3.69,1.9209,0.3,0.052,0.59,8.92,160,-0.0021,0.0053
h+,z,0.718,0.65,0.8,3.51,1.8735,0.3,0.05,0.6,8.84,160,-0.0238,0.0076
h+,z,0.878,0.8,1,3.1,1.7607,0.29,0.046,0.52,8.77,160,-0.0424,0.0102