# Collins Asymmetries from Table II of 1106.0363,,,,,,,,,,,,,
tar,had,x,Q,Q2,y,z,Php,W,Wp,Collins_asym,stat_u,syst_u,model_u
He3,pi+,0.156,1.1747,1.38,0.81,0.5,0.435,2.91,2.07,-0.009,0.023,0.005,0.008
He3,pi+,0.206,1.3266,1.76,0.78,0.52,0.38,2.77,1.97,0.018,0.017,0.005,0.006
He3,pi+,0.265,1.4696,2.16,0.75,0.54,0.32,2.63,1.84,-0.008,0.014,0.004,0.005
He3,pi+,0.349,1.637,2.68,0.7,0.58,0.24,2.43,1.68,-0.033,0.012,0.004,0.004
He3,pi-,0.156,1.1747,1.38,0.81,0.5,0.435,2.91,2.07,-0.041,0.025,0.007,0.01
He3,pi-,0.206,1.3266,1.76,0.78,0.52,0.38,2.77,1.97,0.007,0.02,0.006,0.008
He3,pi-,0.265,1.4697,2.16,0.75,0.54,0.32,2.63,1.84,0.01,0.016,0.005,0.007
He3,pi-,0.349,1.6371,2.68,0.7,0.58,0.24,2.43,1.68,0.004,0.014,0.004,0.006
n,pi+,0.156,1.1747,1.38,0.81,0.5,0.435,2.91,2.07,-0.05,0.128,0.029,0.044
n,pi+,0.206,1.3266,1.76,0.78,0.52,0.38,2.77,1.97,0.146,0.143,0.041,0.057
n,pi+,0.265,1.4697,2.16,0.75,0.54,0.32,2.63,1.84,-0.05,0.097,0.027,0.034
n,pi+,0.349,1.6371,2.68,0.7,0.58,0.24,2.43,1.68,-0.348,0.153,0.051,0.109
n,pi-,0.156,1.1747,1.38,0.81,0.5,0.435,2.91,2.07,-0.137,0.084,0.023,0.036
n,pi-,0.206,1.3266,1.76,0.78,0.52,0.38,2.77,1.97,0.036,0.114,0.032,0.048
n,pi-,0.265,1.4697,2.16,0.75,0.54,0.32,2.63,1.84,0.039,0.067,0.019,0.028
n,pi-,0.349,1.6371,2.68,0.7,0.58,0.24,2.43,1.68,0.015,0.076,0.021,0.032